source,target,weight
Shooting,Beach Volleyball,6
Shooting,Rhythmic Gymnastics,9
Shooting,Softball,4
Shooting,Rugby,4
Shooting,Nordic Combined,15
Shooting,Polo,5
Shooting,Alpinism,3
Shooting,Triathlon,5
Shooting,Ski Jumping,15
Shooting,Diving,25
Shooting,Curling,1
Shooting,Cricket,1
Shooting,Synchronized Swimming,9
Boxing,Jeu De Paume,1
Boxing,Short Track Speed Skating,1
Boxing,Canoeing,19
Boxing,Golf,2
Boxing,Roque,1
Boxing,Archery,15
Boxing,Cycling,25
Boxing,Volleyball,14
Boxing,Military Ski Patrol,1
Boxing,Motorboating,1
Boxing,Tennis,12
Boxing,Skeleton,2
Boxing,Baseball,5
Boxing,Lacrosse,2
Boxing,Racquets,1
Boxing,Beach Volleyball,6
Boxing,Taekwondo,5
Boxing,Rhythmic Gymnastics,9
Boxing,Trampolining,5
Boxing,Softball,4
Boxing,Figure Skating,18
Boxing,Rugby,3
Boxing,Table Tennis,8
Boxing,Nordic Combined,16
Boxing,Rugby Sevens,1
Boxing,Polo,4
Boxing,Modern Pentathlon,23
Boxing,Alpinism,3
Boxing,Triathlon,5
Boxing,Freestyle Skiing,1
Boxing,Aeronautics,1
Boxing,Ski Jumping,16
Boxing,Diving,25
Boxing,Curling,1
Boxing,Synchronized Swimming,9
Taekwondo,Golf,1
Taekwondo,Canoeing,5
Taekwondo,Archery,5
Taekwondo,Cycling,5
Taekwondo,Volleyball,5
Taekwondo,Tennis,5
Taekwondo,Baseball,3
Taekwondo,Beach Volleyball,5
Taekwondo,Rhythmic Gymnastics,5
Taekwondo,Trampolining,5
Taekwondo,Softball,3
Taekwondo,Table Tennis,5
Taekwondo,Rugby Sevens,1
Taekwondo,Modern Pentathlon,5
Taekwondo,Triathlon,5
Taekwondo,Diving,5
Taekwondo,Synchronized Swimming,5
Cycling,Jeu De Paume,1
Cycling,Short Track Speed Skating,1
Cycling,Roque,1
Cycling,Archery,16
Cycling,Basque Pelota,1
Cycling,Volleyball,14
Cycling,Motorboating,1
Cycling,Baseball,5
Cycling,Croquet,1
Cycling,Racquets,1
Cycling,Trampolining,5
Cycling,Figure Skating,18
Cycling,Table Tennis,8
Cycling,Rugby Sevens,1
Cycling,Modern Pentathlon,24
Cycling,Freestyle Skiing,1
Cycling,Aeronautics,1
Cycling,Golf,3
Cycling,Canoeing,19
Cycling,Military Ski Patrol,1
Cycling,Tennis,16
Cycling,Skeleton,2
Cycling,Lacrosse,2
Cycling,Beach Volleyball,6
Cycling,Rhythmic Gymnastics,9
Cycling,Softball,4
Cycling,Rugby,4
Cycling,Nordic Combined,16
Cycling,Polo,5
Cycling,Alpinism,3
Cycling,Triathlon,5
Cycling,Ski Jumping,16
Cycling,Diving,27
Cycling,Curling,1
Cycling,Cricket,1
Cycling,Synchronized Swimming,9
Diving,Jeu De Paume,1
Diving,Short Track Speed Skating,1
Diving,Canoeing,19
Diving,Golf,2
Diving,Roque,1
Diving,Archery,15
Diving,Volleyball,14
Diving,Military Ski Patrol,1
Diving,Motorboating,1
Diving,Tennis,14
Diving,Skeleton,2
Diving,Baseball,5
Diving,Lacrosse,2
Diving,Racquets,1
Diving,Beach Volleyball,6
Diving,Rhythmic Gymnastics,9
Diving,Trampolining,5
Diving,Softball,4
Diving,Figure Skating,18
Diving,Rugby,3
Diving,Table Tennis,8
Diving,Nordic Combined,16
Diving,Rugby Sevens,1
Diving,Polo,4
Diving,Modern Pentathlon,24
Diving,Alpinism,3
Diving,Triathlon,5
Diving,Freestyle Skiing,1
Diving,Aeronautics,1
Diving,Ski Jumping,16
Diving,Curling,1
Diving,Synchronized Swimming,9
Canoeing,Short Track Speed Skating,1
Canoeing,Golf,1
Canoeing,Archery,12
Canoeing,Volleyball,14
Canoeing,Tennis,8
Canoeing,Skeleton,1
Canoeing,Baseball,5
Canoeing,Beach Volleyball,6
Canoeing,Rhythmic Gymnastics,9
Canoeing,Trampolining,5
Canoeing,Softball,4
Canoeing,Figure Skating,13
Canoeing,Table Tennis,8
Canoeing,Nordic Combined,13
Canoeing,Rugby Sevens,1
Canoeing,Modern Pentathlon,19
Canoeing,Polo,1
Canoeing,Alpinism,1
Canoeing,Triathlon,5
Canoeing,Freestyle Skiing,1
Canoeing,Aeronautics,1
Canoeing,Ski Jumping,13
Canoeing,Synchronized Swimming,9
Tennis,Jeu De Paume,1
Tennis,Short Track Speed Skating,1
Tennis,Golf,3
Tennis,Roque,1
Tennis,Archery,12
Tennis,Basque Pelota,1
Tennis,Volleyball,8
Tennis,Military Ski Patrol,1
Tennis,Motorboating,1
Tennis,Baseball,5
Tennis,Croquet,1
Tennis,Lacrosse,2
Tennis,Racquets,1
Tennis,Beach Volleyball,6
Tennis,Rhythmic Gymnastics,8
Tennis,Trampolining,5
Tennis,Softball,4
Tennis,Figure Skating,5
Tennis,Rugby,4
Tennis,Table Tennis,8
Tennis,Nordic Combined,3
Tennis,Rugby Sevens,1
Tennis,Polo,4
Tennis,Modern Pentathlon,11
Tennis,Alpinism,1
Tennis,Triathlon,5
Tennis,Freestyle Skiing,1
Tennis,Ski Jumping,3
Tennis,Curling,1
Tennis,Cricket,1
Tennis,Synchronized Swimming,8
Modern Pentathlon,Short Track Speed Skating,1
Modern Pentathlon,Golf,1
Modern Pentathlon,Archery,13
Modern Pentathlon,Volleyball,14
Modern Pentathlon,Military Ski Patrol,1
Modern Pentathlon,Skeleton,2
Modern Pentathlon,Baseball,5
Modern Pentathlon,Beach Volleyball,6
Modern Pentathlon,Rhythmic Gymnastics,9
Modern Pentathlon,Trampolining,5
Modern Pentathlon,Softball,4
Modern Pentathlon,Figure Skating,17
Modern Pentathlon,Rugby,2
Modern Pentathlon,Table Tennis,8
Modern Pentathlon,Nordic Combined,16
Modern Pentathlon,Rugby Sevens,1
Modern Pentathlon,Polo,3
Modern Pentathlon,Alpinism,3
Modern Pentathlon,Triathlon,5
Modern Pentathlon,Freestyle Skiing,1
Modern Pentathlon,Aeronautics,1
Modern Pentathlon,Ski Jumping,16
Modern Pentathlon,Curling,1
Modern Pentathlon,Synchronized Swimming,9
Figure Skating,Jeu De Paume,1
Figure Skating,Short Track Speed Skating,7
Figure Skating,Archery,8
Figure Skating,Volleyball,8
Figure Skating,Military Ski Patrol,1
Figure Skating,Motorboating,1
Figure Skating,Skeleton,6
Figure Skating,Baseball,1
Figure Skating,Lacrosse,1
Figure Skating,Racquets,1
Figure Skating,Rhythmic Gymnastics,3
Figure Skating,Rugby,3
Figure Skating,Table Tennis,2
Figure Skating,Nordic Combined,22
Figure Skating,Polo,4
Figure Skating,Alpinism,3
Figure Skating,Freestyle Skiing,7
Figure Skating,Aeronautics,1
Figure Skating,Ski Jumping,22
Figure Skating,Curling,6
Figure Skating,Snowboarding,5
Figure Skating,Synchronized Swimming,3
Golf,Roque,1
Golf,Archery,3
Golf,Basque Pelota,1
Golf,Volleyball,1
Golf,Croquet,1
Golf,Lacrosse,1
Golf,Beach Volleyball,1
Golf,Rhythmic Gymnastics,1
Golf,Trampolining,1
Golf,Table Tennis,1
Golf,Rugby,1
Golf,Rugby Sevens,1
Golf,Polo,1
Golf,Triathlon,1
Golf,Cricket,1
Golf,Synchronized Swimming,1
Softball,Archery,4
Softball,Volleyball,4
Softball,Baseball,4
Softball,Beach Volleyball,4
Softball,Rhythmic Gymnastics,4
Softball,Trampolining,3
Softball,Table Tennis,4
Softball,Triathlon,3
Softball,Synchronized Swimming,4
Archery,Jeu De Paume,1
Archery,Short Track Speed Skating,1
Archery,Roque,1
Archery,Basque Pelota,1
Archery,Volleyball,12
Archery,Motorboating,1
Archery,Baseball,5
Archery,Croquet,1
Archery,Lacrosse,2
Archery,Racquets,1
Archery,Beach Volleyball,6
Archery,Rhythmic Gymnastics,9
Archery,Trampolining,5
Archery,Table Tennis,8
Archery,Rugby,3
Archery,Nordic Combined,6
Archery,Rugby Sevens,1
Archery,Polo,3
Archery,Triathlon,5
Archery,Freestyle Skiing,1
Archery,Ski Jumping,6
Archery,Cricket,1
Archery,Synchronized Swimming,9
Volleyball,Short Track Speed Skating,1
Volleyball,Baseball,5
Volleyball,Beach Volleyball,6
Volleyball,Rhythmic Gymnastics,9
Volleyball,Trampolining,5
Volleyball,Table Tennis,8
Volleyball,Nordic Combined,8
Volleyball,Rugby Sevens,1
Volleyball,Triathlon,5
Volleyball,Freestyle Skiing,1
Volleyball,Ski Jumping,8
Volleyball,Synchronized Swimming,9
Synchronized Swimming,Short Track Speed Skating,1
Synchronized Swimming,Baseball,5
Synchronized Swimming,Beach Volleyball,6
Synchronized Swimming,Rhythmic Gymnastics,9
Synchronized Swimming,Trampolining,5
Synchronized Swimming,Table Tennis,8
Synchronized Swimming,Nordic Combined,3
Synchronized Swimming,Rugby Sevens,1
Synchronized Swimming,Triathlon,5
Synchronized Swimming,Freestyle Skiing,1
Synchronized Swimming,Ski Jumping,3
Table Tennis,Short Track Speed Skating,1
Table Tennis,Baseball,5
Table Tennis,Beach Volleyball,6
Table Tennis,Rhythmic Gymnastics,8
Table Tennis,Trampolining,5
Table Tennis,Nordic Combined,2
Table Tennis,Rugby Sevens,1
Table Tennis,Triathlon,5
Table Tennis,Freestyle Skiing,1
Table Tennis,Ski Jumping,2
Nordic Combined,Short Track Speed Skating,7
Nordic Combined,Military Ski Patrol,1
Nordic Combined,Skeleton,6
Nordic Combined,Baseball,1
Nordic Combined,Rhythmic Gymnastics,3
Nordic Combined,Rugby,1
Nordic Combined,Polo,2
Nordic Combined,Alpinism,3
Nordic Combined,Freestyle Skiing,7
Nordic Combined,Aeronautics,1
Nordic Combined,Ski Jumping,22
Nordic Combined,Curling,6
Nordic Combined,Snowboarding,5
Baseball,Short Track Speed Skating,1
Baseball,Beach Volleyball,4
Baseball,Rhythmic Gymnastics,5
Baseball,Trampolining,3
Baseball,Triathlon,3
Baseball,Freestyle Skiing,1
Baseball,Ski Jumping,1
Rhythmic Gymnastics,Short Track Speed Skating,1
Rhythmic Gymnastics,Beach Volleyball,6
Rhythmic Gymnastics,Trampolining,5
Rhythmic Gymnastics,Rugby Sevens,1
Rhythmic Gymnastics,Triathlon,5
Rhythmic Gymnastics,Freestyle Skiing,1
Rhythmic Gymnastics,Ski Jumping,3
Freestyle Skiing,Short Track Speed Skating,7
Freestyle Skiing,Skeleton,4
Freestyle Skiing,Ski Jumping,7
Freestyle Skiing,Curling,5
Freestyle Skiing,Snowboarding,5
Rugby Sevens,Beach Volleyball,1
Rugby Sevens,Trampolining,1
Rugby Sevens,Triathlon,1
Trampolining,Beach Volleyball,5
Trampolining,Triathlon,5
Beach Volleyball,Triathlon,5
Ski Jumping,Short Track Speed Skating,7
Ski Jumping,Military Ski Patrol,1
Ski Jumping,Skeleton,6
Ski Jumping,Rugby,1
Ski Jumping,Polo,2
Ski Jumping,Alpinism,3
Ski Jumping,Aeronautics,1
Ski Jumping,Curling,6
Ski Jumping,Snowboarding,5
Curling,Short Track Speed Skating,5
Curling,Military Ski Patrol,1
Curling,Skeleton,4
Curling,Rugby,1
Curling,Polo,1
Curling,Alpinism,1
Curling,Snowboarding,5
Snowboarding,Short Track Speed Skating,5
Snowboarding,Skeleton,4
Rugby,Jeu De Paume,1
Rugby,Basque Pelota,1
Rugby,Motorboating,1
Rugby,Military Ski Patrol,1
Rugby,Croquet,1
Rugby,Lacrosse,1
Rugby,Racquets,1
Rugby,Polo,4
Rugby,Alpinism,1
Rugby,Cricket,1
Short Track Speed Skating,Skeleton,4
Lacrosse,Jeu De Paume,1
Lacrosse,Roque,1
Lacrosse,Polo,1
Lacrosse,Motorboating,1
Lacrosse,Racquets,1
Polo,Jeu De Paume,1
Polo,Basque Pelota,1
Polo,Motorboating,1
Polo,Military Ski Patrol,1
Polo,Croquet,1
Polo,Racquets,1
Polo,Alpinism,2
Polo,Aeronautics,1
Polo,Cricket,1
Cricket,Basque Pelota,1
Cricket,Croquet,1
Racquets,Jeu De Paume,1
Racquets,Motorboating,1
Motorboating,Jeu De Paume,1
Military Ski Patrol,Alpinism,1
Croquet,Basque Pelota,1
Alpinism,Aeronautics,1
